Sample,1,2,3,4
TB14.0120.C,32.72575208,0,16.88424228,0
TB14.0120.E,26.43602426,38.31405812,28.45579105,18.92959704
TB14.0144.A,0,27.55410985,19.26322034,19.42455016
TB14.0144.C,16.58711735,19.99318309,0,36.52184026
TB14.0144.E,29.75090388,0,25.95865627,20.25781192
TB14.1063.A,14.52735322,28.97446681,0,0
TB14.0163.C,13.45353679,9.975499614,15.28189109,13.98260649
TB14.1063.E,20.16356114,0,0,29.28200144
TB14.0282.A,0,16.43912968,0,32.9474198
TB14.0282.C,43.00302334,26.2778,16.43046165,21.25873644
TB14.0282.E,0,0,0,22.30009258
TB14.0339.A,9.695058872,0,0,11.61887227
TB14.0339.C,0,0,0,0
TB14.0351.E,0,0,0,11.44621921
TB14.0409.A,11.87808956,4.755372653,4.339685165,19.09587939
TB14.0409.C,0,6.680081078,0,0
TB14.0409.E,0,13.53053212,0,7.054415091
TB14.0600.A,0,0,0,34.47652249
TB14.0600.C,9.203766734,0,0,0
TB14.0600.E,0,0,0,0
TB14.1082.A,25.36915533,22.61253091,39.04540882,72.65310596
TB14.1082.C,28.84915375,13.45369685,18.59349817,0
TB14.1082.E,45.52536641,0,58.25498267,26.78515893
TB14.1128.A,37.25605,45.33587102,38.71002251,44.22672387
TB14.1182.C,36.65494488,30.2037255,67.14000683,34.02760308
TB14.1128.E,33.03749552,37.97913784,44.26933465,44.79075583
TB14.1166.A,9.660342831,13.87317827,26.65201402,0
TB14.1166.C,0,0,0,0
TB14.1166.E,0,23.55505112,20.62019631,14.24977255
TB14.1244.A,16.09602205,22.19886709,15.17697315,0
TB14.1244.C,0,8.809013726,0,0
TB14.1244.E,0,12.20511528,10.54349262,0
TB14.1273.A,0,0,0,0
TB14.1273.C,0,14.25230461,0,0
TB14.1273.E,0,0,0,0
TB14.1692.A,8.356482817,41.11780174,11.56740126,35.68049314
TB14.1692.C,40.34348404,53.03515116,0,0
TB14.1692.E,35.26661696,11.18670845,50.47772631,0
TB14.1817.A,0,10.05347433,0,0
TB14.1817.C,0,0,0,0
TB14.1818.A,0,0,0,0
TB14.1818.C,0,13.88492134,0,0
TB14.1818.E,0,0,0,0
TB14.1866.A,0,0,0,0
TB14.1866.C,0,0,0,0
TB14.1866.E,0,0,0,0
TB14.1885.A,0,14.94347299,18.77725348,49.49172843
TB14.1885.C,33.17904636,57.21909036,27.9666857,48.97505541
TB14.1885.E,40.81370495,15.8923292,0,32.56583111
TB14.1990.A,0,0,0,0
TB14.1990.C,3.74830617,0,0,0
TB14.1990.E,0,0,0,0
TB14.2196.A,0,0,23.5480705,0
TB14.2196.C,0,0,0,0
TB14.2196.E,0,22.59764961,45.33076472,0
TB14.2197.C,53.56564418,74.40313077,63.39861955,43.19896207
TB14.2197.C,53.57995145,49.93266516,26.47009246,85.2756628
TB14.2197.E,40.166047,57.03988758,66.01651834,67.0576191
TB14.2284.E,8.77749543,0,0,25.31909253
TB14.2286.A,12.14804852,0,0,33.16656415
TB14.2286.C,0,0,0,15.77123597
TB14.2286.E,24.28799284,0,10.07291636,0
TB14.2384.A,27.21146842,12.10524362,0,0
TB14.2384.C,19.02187817,0,0,0
TB14.2489.A,22.53877266,0,0,0
TB14.2489.C,11.85979305,7.487934788,17.80043515,15.24197208
TB14.2489.E,0,0,17.56182606,6.380343374
TB14.2506.A,31.47366311,0,0,0
TB14.2506.C,0,23.04051715,0,0
TB14.2506.E,17.18342496,0,0,0
