Sample,Feature,Length (um),Area (um2)
TB13.0240.E,1c,3400.59,229202.05
TB13.0240.E,2a,862.93,25698.23
TB13.0240.E,2b,662.33,14091.57
TB13.0240.E,2c,662.33,14091.57
TB13.0240.E,3a,1024.59,41080.96
TB13.0240.E,3b,882.1,24014.14
TB13.0240.E,3c,868.71,21351.9
TB13.0240.E,4a,1773.4,79300.25
TB13.0240.E,4b,1537.67,45492.3
TB13.0240.E,4c,1537.67,45492.3
Sample,Feature,Length (um),Area (um2)
TB13.0242.A,1a,7150.68,1901557.88
TB13.0242.A,1b,5344.66,878583.02
TB13.0242.A,1c,5010.18,609558.16
TB13.0242.A,2a,5254.73,833078.55
TB13.0242.A,2b,4615.93,444640.47
TB13.0242.A,2c,3800.53,201098.23
TB13.0242.A,3a,2886.17,374089.24
TB13.0242.A,3b,2488,244960.9
TB13.0242.A,3c,2270.52,185506.92
TB13.0242.A,4a,2204.29,208784.88
TB13.0242.A,4b,1674.04,68741.89
TB13.0242.A,4c,1570.41,45690.96
Sample,Feature,Length (um),Area (um2)
TB13.0242.C,1a,14064.24,7989866.94
TB13.0242.C,1b,10147.37,4723078.17
TB13.0242.C,1c,10572.77,3998498.31
TB13.0242.C,2a,2469.37,161063.07
TB13.0242.C,2b,2064.77,81782.27
TB13.0242.C,2c,1916.55,65135.76
TB13.0242.C,3a,1717.95,149173.65
TB13.0242.C,3b,1451.51,105673.93
TB13.0242.C,3c,1107.74,59429.5
TB13.0242.C,4a,3838.06,683036.69
TB13.0242.C,4b,3107.75,411508.96
TB13.0242.C,4c,2496.82,280156.13
Sample,Feature,Length (um),Area (um2)
TB13.0242.E,1a,5366.86,1196275.6
TB13.0242.E,1b,3923.91,833165.4
TB13.0242.E,1c,3075.34,565236.4
TB13.0242.E,2a,4060.74,691253.2
TB13.0242.E,2b,3339.13,480739.81
TB13.0242.E,2c,2953.68,359546.24
TB13.0242.E,3a,4010.55,413245.14
TB13.0242.E,3b,3651.91,291286.14
TB13.0242.E,3c,3119.97,222250.2
TB13.0242.E,4a,1137.39,57419.74
TB13.0242.E,4b,988.51,36975.96
TB13.0242.E,4c,760.71,23489.17
Sample,Feature,Length (um),Area (um2)
TB13.0612.A,1a,4043.6,765311.67
TB13.0612.A,1b,2744.19,377794.51
TB13.0612.A,1c,2492.84,329271
TB13.0612.A,2a,1388.91,92263.07
TB13.0612.A,2b,1202.68,45570.86
TB13.0612.A,2c,1017.25,37809.78
TB13.0612.A,3a,2480.06,256709.75
TB13.0612.A,3b,2112.22,136173.06
TB13.0612.A,3c,1884.06,95857.78
TB13.0612.A,4a,2501.69,253869.8
TB13.0612.A,4b,2208.65,146210.71
TB13.0612.A,4c,1846.02,99578.99
Sample,Feature,Length (um),Area (um2)
TB13.0612.C,1a,1963.74,115729.9
TB13.0612.C,1b,1605.94,51000.26
TB13.0612.C,1c,1457.01,38652.27
TB13.0612.C,2a,1229.32,68745.91
TB13.0612.C,2b,1043.23,43283.11
TB13.0612.C,2c,797.21,25185.19
TB13.0612.C,3a,1066.76,42229.66
TB13.0612.C,3b,886.43,19871.5
TB13.0612.C,3c,703.04,11696.14
TB13.0612.C,4a,1313.86,74285
TB13.0612.C,4b,1163.82,46172.13
TB13.0612.C,4c,893.22,30653.75
Sample,Feature,Length (um),Area (um2)
TB13.0612.E,1a,2882.19,374910.01
TB13.0612.E,1b,2196.29,217511.93
TB13.0612.E,1c,1899.75,131996.4
TB13.0612.E,2a,2284.96,204219.3
TB13.0612.E,2b,2063.55,139099.1
TB13.0612.E,2c,1686.76,86919.51
TB13.0612.E,3a,980.15,48053.01
TB13.0612.E,3b,784.51,23610.41
TB13.0612.E,3c,733.78,20750.13
TB13.0612.E,4a,873.89,36321.98
TB13.0612.E,4b,780.1,24440.84
TB13.0612.E,4c,531.45,10544.3
Sample,Feature,Length (um),Area (um2)
TB13.0626.A,1a,3722.78,544624.95
TB13.0626.A,1b,3219.7,241459.44
TB13.0626.A,1c,2863.09,198341.48
TB13.0626.A,2a,3830.89,519705.7
TB13.0626.A,2b,3090.3,105225.01
TB13.0626.A,2c,2615.31,60826.7
TB13.0626.A,3a,1170.33,61666.8
TB13.0626.A,3b,1025.6,38468.79
TB13.0626.A,3c,925.61,30380.91
TB13.0626.A,4a,811.89,30587.98
TB13.0626.A,4b,694.19,17049.62
TB13.0626.A,4c,637.06,13959.29
Sample,Feature,Length (um),Area (um2)
TB13.0626.C,1a,4381.05,987400.23
TB13.0626.C,1b,3748.12,580522.86
TB13.0626.C,1c,3410.18,418771.8
TB13.0626.C,2a,859.13,32734.8
TB13.0626.C,2b,739.02,12860.16
TB13.0626.C,2c,680.15,10403.74
TB13.0626.C,3a,1379.78,91573.82
TB13.0626.C,3b,1277.02,56456.27
TB13.0626.C,3c,1194.57,46198.74
TB13.0626.C,4a,1062.12,49385.2
TB13.0626.C,4b,932.64,26565.07
TB13.0626.C,4c,776.88,22051.06
Sample,Feature,Length (um),Area (um2)
TB13.0626.E,1a,3850.74,784982.62
TB13.0626.E,1b,3044.72,427637.91
TB13.0626.E,1c,2326.09,221382.12
TB13.0626.E,2a,2590.03,195556.88
TB13.0626.E,2b,2110.48,98431.54
TB13.0626.E,2c,1863.42,71923.33
TB13.0626.E,3a,1316.89,93739.96
TB13.0626.E,3b,1130,61903.87
TB13.0626.E,3c,966.3,49107.46
TB13.0626.E,4a,1664.42,111411.93
TB13.0626.E,4b,1401,64208.56
TB13.0626.E,4c,1174.13,39849.8
Sample,Feature,Length (um),Area (um2)
TB13.0763.A,1a,2025.72,194291.58
TB13.0763.A,1b,1693.46,120579.62
TB13.0763.A,1c,1520.62,100185.41
TB13.0763.A,2a,619.43,19271.23
TB13.0763.A,2b,467.1,9217.76
TB13.0763.A,2c,436.29,7450.21
TB13.0763.A,3a,2444.03,226799.1
TB13.0763.A,3b,2108.33,121231.85
TB13.0763.A,3c,2108.33,121231.85
TB13.0763.A,4a,1345.33,56215.69
TB13.0763.A,4b,1128.15,24927.91
TB13.0763.A,4c,1128.15,24927.91
Sample,Feature,Length (um),Area (um2)
TB13.0763.C,1a,4584.84,781975.38
TB13.0763.C,1b,3884.94,579843.15
TB13.0763.C,1c,3492.76,427849.38
TB13.0763.C,2a,603.31,19692.16
TB13.0763.C,2b,449.35,10484.31
TB13.0763.C,2c,449.35,10484.31
TB13.0763.C,3a,1225.98,64379.37
TB13.0763.C,3b,1007.13,35182.06
TB13.0763.C,3c,944.42,30029.51
TB13.0763.C,4a,1674.9,110303.39
TB13.0763.C,4b,1443.49,70103.82
TB13.0763.C,4c,1350.76,60702.2
Sample,Feature,Length (um),Area (um2)
TB13.0763.E,1a,2049.15,196888.06
TB13.0763.E,1b,1706.37,139008.86
TB13.0763.E,1c,1527.54,118601.98
TB13.0763.E,2a,1351.71,77030.7
TB13.0763.E,2b,1178.07,49787.43
TB13.0763.E,2c,983.11,39898.24
TB13.0763.E,3a,1531.45,98606.37
TB13.0763.E,3b,1221.77,58603.08
TB13.0763.E,3c,1070.59,40033.28
TB13.0763.E,4a,1914.79,159108.15
TB13.0763.E,4b,1625.01,105962.07
TB13.0763.E,4c,1408.25,75919.26
Sample,Feature,Length (um),Area (um2)
TB13.0774.A,1a,1372.63,68454.75
TB13.0774.A,1b,1218.68,40937.51
TB13.0774.A,1c,1188.05,36266.51
TB13.0774.A,2a,1451.25,88554.78
TB13.0774.A,2b,1188.65,49359.97
TB13.0774.A,2c,1128.8,44234.91
TB13.0774.A,3a,716.01,26995.91
TB13.0774.A,3b,584.38,17247.16
TB13.0774.A,3c,584.38,17247.16
TB13.0774.A,4a,556.71,16142.38
TB13.0774.A,4b,494.12,11303.2
TB13.0774.A,4c,472.08,10057.23
Sample,Feature,Length (um),Area (um2)
TB13.0774.C,1a,1365.86,71733.82
TB13.0774.C,1b,1515.24,32271.7
TB13.0774.C,1c,1515.24,32271.7
TB13.0774.C,2a,878.19,32030.61
TB13.0774.C,2b,780.12,21678.2
TB13.0774.C,2c,780.12,21678.2
TB13.0774.C,3a,1291.62,78424.25
TB13.0774.C,3b,1176.73,55873.2
TB13.0774.C,3c,1176.73,55873.2
TB13.0774.C,4a,649.86,18914.18
TB13.0774.C,4b,538.25,11701.79
TB13.0774.C,4c,538.25,11701.79
Sample,Feature,Length (um),Area (um2)
TB13.0774.E,1a,2450.88,222562.83
TB13.0774.E,1b,1990.02,139168.63
TB13.0774.E,1c,1990.02,139168.63
TB13.0774.E,2a,980.64,27735.23
TB13.0774.E,2b,905.42,16023.53
TB13.0774.E,2c,905.42,16023.53
TB13.0774.E,3a,1128.18,56543.49
TB13.0774.E,3b,1000.75,38062.67
TB13.0774.E,3c,1000.75,38062.67
TB13.0774.E,4a,1360.5,67359.75
TB13.0774.E,4b,1257.57,46801.52
TB13.0774.E,4c,1257.57,46801.52
Sample,Feature,Length (um),Area (um2)
TB13.0775.A,1a,3479.82,629441.83
TB13.0775.A,1b,2755.95,384088.61
TB13.0775.A,1c,2667.82,355096.24
TB13.0775.A,2a,1985.1,187634.28
TB13.0775.A,2b,1487.21,104327.05
TB13.0775.A,2c,1424.73,93351.28
TB13.0775.A,3a,9964.41,2541823.49
TB13.0775.A,3b,8389.93,1525846.3
TB13.0775.A,3c,7621.25,1211286.34
TB13.0775.A,4a,1674.01,152526.27
TB13.0775.A,4b,1340.73,101754.29
TB13.0775.A,4c,1275.5,92203.2
Sample,Feature,Length (um),Area (um2)
TB13.0775.C,1a,3565.51,503438.45
TB13.0775.C,1b,2754.56,302651.72
TB13.0775.C,1c,2630.46,286020.14
TB13.0775.C,2a,1525.06,111616
TB13.0775.C,2b,1162.67,62206.45
TB13.0775.C,2c,1103.95,56892.89
TB13.0775.C,3a,1676.82,110094.55
TB13.0775.C,3b,1136.61,32723.12
TB13.0775.C,3c,924.25,22586.83
TB13.0775.C,4a,1306.53,73815.5
TB13.0775.C,4b,1038.8,30479.8
TB13.0775.C,4c,932.37,22208.44
Sample,Feature,Length (um),Area (um2)
TB13.0775.E,1a,4170.21,504474.46
TB13.0775.E,1b,3268.87,330943.55
TB13.0775.E,1c,2776.83,244312.06
TB13.0775.E,2a,3535.94,465472.55
TB13.0775.E,2b,2781.91,267760.45
TB13.0775.E,2c,2686.12,252095.48
TB13.0775.E,3a,2846,238049.46
TB13.0775.E,3b,1988.03,100062.8
TB13.0775.E,3c,1988.03,100062.8
TB13.0775.E,4a,2733.85,270242.35
TB13.0775.E,4b,1964.04,113212.61
TB13.0775.E,4c,1964.04,113212.61
Sample,Feature,Length (um),Area (um2)
TB13.0776.A,1a,8065.84,2837379.92
TB13.0776.A,1b,6515.78,1753566.56
TB13.0776.A,1c,6257.2,1585990.02
TB13.0776.A,2a,8059.97,3181823.3
TB13.0776.A,2b,6489.95,2171851.8
TB13.0776.A,2c,6188.04,2038200.43
TB13.0776.A,3a,1264.57,77389.25
TB13.0776.A,3b,1100.14,52603.28
TB13.0776.A,3c,1100.14,52603.28
TB13.0776.A,4a,1159.9,44603.63
TB13.0776.A,4b,985.99,22651.58
TB13.0776.A,4c,985.99,22651.58
Sample,Feature,Length (um),Area (um2)
TB13.0776.C,1a,3725.48,525412.96
TB13.0776.C,1b,3172.6,345600.87
TB13.0776.C,1c,2976.18,287949.21
TB13.0776.C,2a,1947.83,166898.59
TB13.0776.C,2b,1740.03,115022.33
TB13.0776.C,2c,1625.79,99247.67
TB13.0776.C,3a,1218.77,75061.22
TB13.0776.C,3b,1083.84,47622.67
TB13.0776.C,3c,951.84,44836.93
TB13.0776.C,4a,4718.55,900040.72
TB13.0776.C,4b,3297.56,521220.24
TB13.0776.C,4c,2686.49,409179.17
Sample,Feature,Length (um),Area (um2)
TB13.0776.E,1a,3932.4,526591.29
TB13.0776.E,1b,3225.92,280266.45
TB13.0776.E,1c,3063.16,246671.6
TB13.0776.E,2a,2017.49,179168.02
TB13.0776.E,2b,1813.08,114944.4
TB13.0776.E,2c,1725.48,106249.22
TB13.0776.E,3a,1517.11,81839.37
TB13.0776.E,3b,1269.87,45903.06
TB13.0776.E,3c,1193.51,40117.99
TB13.0776.E,4a,1323.55,82102.55
TB13.0776.E,4b,1185.19,57465.55
TB13.0776.E,4c,1185.19,57465.55
Sample,Feature,Length (um),Area (um2)
TB13.0828.A,1a,3823.07,616841.58
TB13.0828.A,1b,3691.6,200308.33
TB13.0828.A,1c,3067.01,134637.93
TB13.0828.A,2a,3857.15,548677.11
TB13.0828.A,2b,3279.95,152169.72
TB13.0828.A,2c,2991.26,118040.62
TB13.0828.A,3a,3578.71,594824.77
TB13.0828.A,3b,2738.98,301216.62
TB13.0828.A,3c,2620.8,268765.46
TB13.0828.A,4a,3649.51,490731.4
TB13.0828.A,4b,3104.84,226137.58
TB13.0828.A,4c,2972.12,182810.42
Sample,Feature,Length (um),Area (um2)
TB13.0828.C,1a,2219.55,196152.13
TB13.0828.C,1b,1869.09,94416.66
TB13.0828.C,1c,1582.68,63687.61
TB13.0828.C,2a,1722.02,111524.26
TB13.0828.C,2b,1492.71,67408.32
TB13.0828.C,2c,1333.46,47728.34
TB13.0828.C,3a,2916.21,199276.96
TB13.0828.C,3b,2550.54,103409.9
TB13.0828.C,3c,2375.9,84146.95
TB13.0828.C,4a,893.25,34035.73
TB13.0828.C,4b,757.12,18979.06
TB13.0828.C,4c,697.46,14882.85
Sample,Feature,Length (um),Area (um2)
TB13.0828.E,1a,1297.83,80905.9
TB13.0828.E,1b,978.74,44213.7
TB13.0828.E,1c,785.42,28167.83
TB13.0828.E,2a,983.37,53284.5
TB13.0828.E,2b,813.01,36710.78
TB13.0828.E,2c,663.37,25359.01
TB13.0828.E,3a,3118.51,426415.16
TB13.0828.E,3b,2369.95,191616.29
TB13.0828.E,3c,2031.19,136792.53
TB13.0828.E,4a,1951.37,161184.3
TB13.0828.E,4b,1654.22,39107.96
TB13.0828.E,4c,1538.84,25935.43
Sample,Feature,Length (um),Area (um2)
TB13.1084.A,1a,823.24,33639.91
TB13.1084.A,1b,704.53,24432.69
TB13.1084.A,1c,668.86,22442.88
TB13.1084.A,2a,882.66,40921.32
TB13.1084.A,2b,781.19,28036.94
TB13.1084.A,2c,781.19,28036.94
TB13.1084.A,3a,1347.74,75006.37
TB13.1084.A,3b,1261.74,48760.58
TB13.1084.A,3c,1261.74,48760.58
TB13.1084.A,4a,790.28,35816.08
TB13.1084.A,4b,673.54,26171.5
TB13.1084.A,4c,673.54,26171.5
Sample,Feature,Length (um),Area (um2)
TB13.1084.C,1a,2207.35,197653.36
TB13.1084.C,1b,1847.56,136336.08
TB13.1084.C,1c,1847.56,136336.08
TB13.1084.C,2a,1219.65,49153.02
TB13.1084.C,2b,1081.05,32452.29
TB13.1084.C,2c,1081.05,32452.29
TB13.1084.C,3a,1258.02,53976.26
TB13.1084.C,3b,1030.94,36457.39
TB13.1084.C,3c,1030.94,36457.39
TB13.1084.C,4a,563.09,16045.99
TB13.1084.C,4b,451.84,9139.07
TB13.1084.C,4c,451.84,9139.07
Sample,Feature,Length (um),Area (um2)
TB13.1084.E,1a,2727.81,378016.9
TB13.1084.E,1b,2116.67,233874.56
TB13.1084.E,1c,2116.67,233874.56
TB13.1084.E,2a,1475.3,114206.2
TB13.1084.E,2b,1249.84,79807.9
TB13.1084.E,2c,1249.84,79807.9
TB13.1084.E,3a,2372.85,208302.08
TB13.1084.E,3b,1893.97,145353.54
TB13.1084.E,3c,1893.97,145353.54
TB13.1084.E,4a,1178.06,69972.3
TB13.1084.E,4b,1068.12,55180.18
TB13.1084.E,4c,1068.12,55180.18
Sample,Feature,Length (um),Area (um2)
TB13.1085.A,1a,3774.9,765731.1
TB13.1085.A,1b,2826.09,446608.94
TB13.1085.A,1c,2826.09,446608.94
TB13.1085.A,2a,2427.75,335893.91
TB13.1085.A,2b,1772.35,182540.34
TB13.1085.A,2c,1772.35,182540.34
TB13.1085.A,3a,1385.73,107484.4
TB13.1085.A,3b,1085.94,68179.15
TB13.1085.A,3c,1085.94,68179.15
TB13.1085.A,4a,2080.04,214627.56
TB13.1085.A,4b,1515.4,116370.58
TB13.1085.A,4c,1515.4,116370.58
Sample,Feature,Length (um),Area (um2)
TB13.1085.C,1a,2321.53,270643.95
TB13.1085.C,1b,1783.44,172522.01
TB13.1085.C,1c,1783.44,172522.01
TB13.1085.C,2a,1276.58,76120.32
TB13.1085.C,2b,1001.48,47393.5
TB13.1085.C,2c,981.75,44684.83
TB13.1085.C,3a,775.93,30067.78
TB13.1085.C,3b,588.52,17397.88
TB13.1085.C,3c,565,16244.78
TB13.1085.C,4a,3443.77,291139.81
TB13.1085.C,4b,2995.5,177100.15
TB13.1085.C,4c,2995.5,177100.15
Sample,Feature,Length (um),Area (um2)
TB13.1085.E,1a,1725.31,155787.03
TB13.1085.E,1b,1331.83,90250.54
TB13.1085.E,1c,1285.02,85829.03
TB13.1085.E,2a,1028.11,56267.39
TB13.1085.E,2b,821.96,34557.82
TB13.1085.E,2c,791.61,31975.64
TB13.1085.E,3a,1188.77,67996.92
TB13.1085.E,3b,961.17,42421.93
TB13.1085.E,3c,961.17,42421.93
TB13.1085.E,4a,1170.15,68030.68
TB13.1085.E,4b,973.93,46443.84
TB13.1085.E,4c,933.24,41316.14
Sample,Feature,Length (um),Area (um2)
TB13.1101.A,1a,1400.82,74087.58
TB13.1101.A,1b,1152.78,43824.77
TB13.1101.A,1c,1152.78,43824.77
TB13.1101.A,2a,1001.42,38974.55
TB13.1101.A,2b,851.63,20405.13
TB13.1101.A,2c,759.74,15188.57
TB13.1101.A,3a,1028.18,35387.37
TB13.1101.A,3b,853.18,16890.99
TB13.1101.A,3c,853.18,16890.99
TB13.1101.A,4a,807.88,17946.7
TB13.1101.A,4b,641.52,5806.41
TB13.1101.A,4c,641.52,5806.41
Sample,Feature,Length (um),Area (um2)
TB13.1101.C,1a,2631.25,355972.36
TB13.1101.C,1b,1974.39,216728.06
TB13.1101.C,1c,1903.83,196909.77
TB13.1101.C,2a,1075.21,43428.44
TB13.1101.C,2b,908.32,18251.54
TB13.1101.C,2c,838.3,14248.95
TB13.1101.C,3a,1684.29,75858.27
TB13.1101.C,3b,1441.31,46534.7
TB13.1101.C,3c,1385.78,40354.06
TB13.1101.C,4a,1017.44,44383
TB13.1101.C,4b,823.36,21732.92
TB13.1101.C,4c,707.02,16406.81
Sample,Feature,Length (um),Area (um2)
TB13.1101.E,1a,3849.38,424367.87
TB13.1101.E,1b,3389.23,288583.36
TB13.1101.E,1c,3389.23,288583.36
TB13.1101.E,2a,1350.03,96860.15
TB13.1101.E,2b,1151.13,69461.76
TB13.1101.E,2c,1101.22,65131.12
TB13.1101.E,3a,3172.08,230514.54
TB13.1101.E,3b,2679.28,132481.46
TB13.1101.E,3c,2679.28,132481.46
TB13.1101.E,4a,1505.68,75415.88
TB13.1101.E,4b,1170.09,41126.14
TB13.1101.E,4c,1083.22,36359.88
Sample,Feature,Length (um),Area (um2)
TB13.1155.A,1a,4760.03,1248100.78
TB13.1155.A,1b,3958.52,900300.63
TB13.1155.A,1c,3755.6,853543.54
TB13.1155.A,2a,1172.58,72175.96
TB13.1155.A,2b,1009.72,50909.02
TB13.1155.A,2c,944.8,47209.9
TB13.1155.A,3a,1666.25,90085.63
TB13.1155.A,3b,1369.56,55525.43
TB13.1155.A,3c,1230.43,51635.8
TB13.1155.A,4a,1267.66,65949.13
TB13.1155.A,4b,1009.2,39967.89
TB13.1155.A,4c,935.45,33938.72
Sample,Feature,Length (um),Area (um2)
TB13.1155.C,1a,3957.78,750802.18
TB13.1155.C,1b,3231.48,492977.99
TB13.1155.C,1c,3123.33,471050.54
TB13.1155.C,2a,2631.55,237272.49
TB13.1155.C,2b,2320.1,127707.67
TB13.1155.C,2c,2320.1,127707.67
TB13.1155.C,3a,875.7,31757.4
TB13.1155.C,3b,734.82,19541.43
TB13.1155.C,3c,702.09,17100.07
TB13.1155.C,4a,797.38,35514.13
TB13.1155.C,4b,645.96,22949.15
TB13.1155.C,4c,605.36,20409.02
Sample,Feature,Length (um),Area (um2)
TB13.1155.E,1a,2575.22,290206.96
TB13.1155.E,1b,2078.93,208239.45
TB13.1155.E,1c,2031.37,189993.31
TB13.1155.E,2a,801.77,32297.93
TB13.1155.E,2b,687.41,20702.56
TB13.1155.E,2c,633.74,18348.17
TB13.1155.E,3a,960.21,43376.48
TB13.1155.E,3b,804.58,29128.29
TB13.1155.E,3c,792.74,27290.21
TB13.1155.E,4a,593.57,12367.45
TB13.1155.E,4b,470.27,6331.63
TB13.1155.E,4c,443.3,5193.71
Sample,Feature,Length (um),Area (um2)
TB13.1376.A,1a,548.79,12881.37
TB13.1376.A,1b,490.51,6913.07
TB13.1376.A,1c,421.17,5277.3
TB13.1376.A,2a,1010.86,21183.1
TB13.1376.A,2b,890.35,12566.36
TB13.1376.A,2c,766.14,8036.68
TB13.1376.A,3a,531.69,10147.59
TB13.1376.A,3b,469.24,5613.64
TB13.1376.A,3c,387.65,3499.71
TB13.1376.A,4a,2699.55,198178.08
TB13.1376.A,4b,2506.84,93281.76
TB13.1376.A,4c,2220.03,66343.33
Sample,Feature,Length (um),Area (um2)
TB13.1376.C,1a,1778.92,176892.44
TB13.1376.C,1b,1442.39,114598.77
TB13.1376.C,1c,1241.6,75472.48
TB13.1376.C,2a,1436.58,115909.24
TB13.1376.C,2b,1187.65,72519.21
TB13.1376.C,2c,916.89,50173.21
TB13.1376.C,3a,1086.95,67584.02
TB13.1376.C,3b,793.44,37376.56
TB13.1376.C,3c,647.23,25849.46
TB13.1376.C,4a,1015.73,60790.56
TB13.1376.C,4b,800.18,37903.78
TB13.1376.C,4c,632.45,24156.21
Sample,Feature,Length (um),Area (um2)
TB13.1376.E,1a,1947.19,175076.08
TB13.1376.E,1b,1677.4,106132.38
TB13.1376.E,1c,1457.33,87760.99
TB13.1376.E,2a,2700.46,278852.18
TB13.1376.E,2b,2009.36,146765.3
TB13.1376.E,2c,1781.47,122356.58
TB13.1376.E,3a,2381.5,309216.4
TB13.1376.E,3b,1927.6,135522.34
TB13.1376.E,3c,1380.48,75770.55
TB13.1376.E,4a,3140.74,313820.01
TB13.1376.E,4b,2694.34,190798.02
TB13.1376.E,4c,2530.48,145456.2
Sample,Feature,Length (um),Area (um2)
TB13.1416.A,1a,2584.7,356015.66
TB13.1416.A,1b,2089.37,219996.22
TB13.1416.A,1c,1803.3,147234.42
TB13.1416.A,2a,1836.5,163709.37
TB13.1416.A,2b,1481.53,112461.62
TB13.1416.A,2c,1163.52,63155.24
TB13.1416.A,3a,843.03,40775.11
TB13.1416.A,3b,696.14,29933.62
TB13.1416.A,3c,500.81,16022.15
TB13.1416.A,4a,947.04,40638.94
TB13.1416.A,4b,757.69,23811.21
TB13.1416.A,4c,713.13,18410.92
Sample,Feature,Length (um),Area (um2)
TB13.1416.C,1a,2414.94,295154.7
TB13.1416.C,1b,2003.26,221337.44
TB13.1416.C,1c,1730.49,158728.13
TB13.1416.C,2a,2022.07,181674.39
TB13.1416.C,2b,1665.8,109054.41
TB13.1416.C,2c,1563.51,89156.3
TB13.1416.C,3a,1605.38,120912.57
TB13.1416.C,3b,1370.34,87807.3
TB13.1416.C,3c,1112.07,57142.76
TB13.1416.C,4a,1356.73,70675.85
TB13.1416.C,4b,1182.9,44260.13
TB13.1416.C,4c,1088.1,36965.92
Sample,Feature,Length (um),Area (um2)
TB13.1416.E,1a,2230.38,228612.95
TB13.1416.E,1b,1973.19,169431.19
TB13.1416.E,1c,1678.67,131508.33
TB13.1416.E,2a,1568.39,133724.67
TB13.1416.E,2b,1370.83,95700.02
TB13.1416.E,2c,1185.66,71904
TB13.1416.E,3a,1379.46,93707.08
TB13.1416.E,3b,1179.03,66601.98
TB13.1416.E,3c,1019.04,47523.77
TB13.1416.E,4a,683.18,25337.29
TB13.1416.E,4b,597.05,19488.22
TB13.1416.E,4c,439.98,10950.17
Sample,Feature,Length (um),Area (um2)
TB13.1436.A,1a,569.76,11260.03
TB13.1436.A,1b,516.99,8667.82
TB13.1436.A,1c,262.55,2554.69
TB13.1436.A,2a,841.12,27714.02
TB13.1436.A,2b,783.36,20063.76
TB13.1436.A,2c,543.38,7062.79
TB13.1436.A,3a,704.62,14679.17
TB13.1436.A,3b,623.38,8499.52
TB13.1436.A,3c,548.24,5448.85
TB13.1436.A,4a,340.71,5129.83
TB13.1436.A,4b,199.1,1734.17
TB13.1436.A,4c,138.83,782.62
Sample,Feature,Length (um),Area (um2)
TB13.1436.C,1a,1693.89,149797.89
TB13.1436.C,1b,1453.76,98858.5
TB13.1436.C,1c,1290.53,77942.83
TB13.1436.C,2a,996.53,53189.49
TB13.1436.C,2b,811.86,30467.5
TB13.1436.C,2c,761.25,27073.84
TB13.1436.C,3a,1620.87,94339.98
TB13.1436.C,3b,1305.19,57728.09
TB13.1436.C,3c,1060.12,40695.17
TB13.1436.C,4a,574.71,13557.57
TB13.1436.C,4b,509.32,7683.77
TB13.1436.C,4c,399.03,5114.27
Sample,Feature,Length (um),Area (um2)
TB13.1436.E,1a,2294.4,264907.45
TB13.1436.E,1b,1807.85,143022.75
TB13.1436.E,1c,1654.12,122049.98
TB13.1436.E,2a,1120.56,63233.93
TB13.1436.E,2b,996.64,36774.03
TB13.1436.E,2c,921.51,31286.65
TB13.1436.E,3a,7615.95,1389344.68
TB13.1436.E,3b,6420.84,868118.29
TB13.1436.E,3c,6314.18,737557.74
TB13.1436.E,4a,1655.66,138900.43
TB13.1436.E,4b,1321.92,82564.77
TB13.1436.E,4c,1202.87,72008.79
Sample,Feature,Length (um),Area (um2)
TB13.2128.A,1a,2797.67,388446.99
TB13.2128.A,1b,2194.07,234703.49
TB13.2128.A,1c,2027.31,200515.15
TB13.2128.A,2a,1540.77,118111.78
TB13.2128.A,2b,1172.03,67948.23
TB13.2128.A,2c,1164.15,64178.07
TB13.2128.A,3a,14348.1,4953352.12
TB13.2128.A,3b,9772.86,1969790.74
TB13.2128.A,3c,9387.39,1579558
TB13.2128.A,4a,1559.38,112017.72
TB13.2128.A,4b,1241.01,66213.18
TB13.2128.A,4c,1161.35,60051.48
Sample,Feature,Length (um),Area (um2)
TB13.2128.C,1a,3475.17,649655.81
TB13.2128.C,1b,2214.4,263025.69
TB13.2128.C,1c,2058.19,230916.52
TB13.2128.C,2a,3102.59,503108.64
TB13.2128.C,2b,2312.58,280243.73
TB13.2128.C,2c,2207.35,265385.98
TB13.2128.C,3a,1364.3,94764.67
TB13.2128.C,3b,1140.52,61244.99
TB13.2128.C,3c,989.38,47879.32
TB13.2128.C,4a,4286.47,732475.47
TB13.2128.C,4b,3691.18,347990.15
TB13.2128.C,4c,3551.53,289138.58
Sample,Feature,Length (um),Area (um2)
TB13.2128.E,1a,1411,78256.21
TB13.2128.E,1b,1016.54,33266.04
TB13.2128.E,1c,1016.54,33266.04
TB13.2128.E,2a,795.66,31073.29
TB13.2128.E,2b,529.78,11186.49
TB13.2128.E,2c,529.78,11186.49
TB13.2128.E,3a,618.9,20061.38
TB13.2128.E,3b,458.36,10739.96
TB13.2128.E,3c,458.36,10739.96
TB13.2128.E,4a,2054.48,131926.75
TB13.2128.E,4b,1770.74,87811.82
TB13.2128.E,4c,1331.96,66725.1
Sample,Feature,Length (um),Area (um2)
TB13.2533.A,1a,2484.13,308969.92
TB13.2533.A,1b,1980.44,172412.2
TB13.2533.A,1c,1980.44,172412.2
TB13.2533.A,2a,3651.24,463475.71
TB13.2533.A,2b,2865.4,289052.61
TB13.2533.A,2c,2763.37,271108.05
TB13.2533.A,3a,1837.52,109104.61
TB13.2533.A,3b,1656.92,60261.82
TB13.2533.A,3c,1656.92,60261.82
TB13.2533.A,4a,1570.82,95207.18
TB13.2533.A,4b,1270.86,45367.17
TB13.2533.A,4c,1159.01,40766.83
